date,latest android update,latest arsenal news,latest adobe flash player,latest apple update,latest arsenal transfer news,isPartial
2015-06-21,5,64,5,1,32,False
2015-06-28,5,71,7,2,34,False
2015-07-05,5,67,7,2,33,False
2015-07-12,5,72,19,1,35,False
2015-07-19,4,69,11,1,36,False
2015-07-26,5,78,9,1,40,False
2015-08-02,5,80,6,0,42,False
2015-08-09,8,83,7,1,43,False
2015-08-16,6,83,7,1,43,False
2015-08-23,6,82,6,1,44,False
2015-08-30,5,79,5,1,45,False
2015-09-06,5,20,5,1,4,False
2015-09-13,8,21,6,2,3,False
2015-09-20,6,22,5,2,3,False
2015-09-27,6,19,5,2,3,False
2015-10-04,6,22,5,2,3,False
2015-10-11,6,23,5,1,4,False
2015-10-18,6,24,6,2,3,False
2015-10-25,6,20,6,2,2,False
2015-11-01,6,22,6,1,3,False
2015-11-08,6,19,5,1,3,False
2015-11-15,5,20,4,1,3,False
2015-11-22,5,19,5,1,4,False
2015-11-29,5,20,4,1,4,False
2015-12-06,5,24,5,1,4,False
2015-12-13,6,26,5,1,5,False
2015-12-20,6,34,6,1,7,False
2015-12-27,5,40,5,1,11,False
2016-01-03,5,60,3,1,25,False
2016-01-10,4,57,3,1,22,False
2016-01-17,5,48,3,1,15,False
2016-01-24,5,40,3,1,13,False
2016-01-31,3,30,3,1,9,False
2016-02-07,3,24,2,1,3,False
2016-02-14,4,26,2,1,4,False
2016-02-21,4,21,2,1,2,False
2016-02-28,3,19,2,1,2,False
2016-03-06,4,22,3,1,3,False
2016-03-13,4,21,3,1,2,False
2016-03-20,5,18,2,2,3,False
2016-03-27,4,18,2,3,4,False
2016-04-03,5,18,3,1,4,False
2016-04-10,4,15,2,1,4,False
2016-04-17,3,17,2,1,3,False
2016-04-24,4,15,3,1,3,False
2016-05-01,3,17,3,1,4,False
2016-05-08,4,20,2,1,5,False
2016-05-15,4,27,3,2,10,False
2016-05-22,4,42,2,2,16,False
2016-05-29,3,41,2,1,16,False
2016-06-05,4,71,2,1,31,False
2016-06-12,4,46,2,1,17,False
2016-06-19,3,43,3,0,17,False
2016-06-26,4,47,3,1,22,False
2016-07-03,5,57,3,0,25,False
2016-07-10,6,55,2,1,24,False
2016-07-17,5,72,2,1,36,False
2016-07-24,5,87,2,1,42,False
2016-07-31,6,83,2,2,41,False
2016-08-07,5,86,1,2,43,False
2016-08-14,4,73,2,1,34,False
2016-08-21,5,84,2,2,40,False
2016-08-28,5,66,2,1,30,False
2016-09-04,4,27,2,2,5,False
2016-09-11,5,24,1,3,3,False
2016-09-18,4,25,3,2,3,False
2016-09-25,4,24,3,3,3,False
2016-10-02,5,19,2,2,2,False
2016-10-09,5,19,2,1,2,False
2016-10-16,3,20,2,2,3,False
2016-10-23,4,18,2,1,2,False
2016-10-30,4,21,3,1,3,False
2016-11-06,4,15,2,1,2,False
2016-11-13,3,21,3,1,3,False
2016-11-20,3,17,3,1,2,False
2016-11-27,4,17,3,1,2,False
2016-12-04,4,22,2,1,3,False
2016-12-11,3,17,2,2,2,False
2016-12-18,5,17,2,2,3,False
2016-12-25,5,20,2,1,4,False
2017-01-01,4,22,2,1,6,False
2017-01-08,4,22,2,1,6,False
2017-01-15,3,22,2,1,5,False
2017-01-22,4,24,1,2,5,False
2017-01-29,4,21,2,1,4,False
2017-02-05,4,14,2,1,2,False
2017-02-12,4,16,2,1,2,False
2017-02-19,4,13,2,1,1,False
2017-02-26,4,14,3,1,3,False
2017-03-05,5,16,2,1,2,False
2017-03-12,4,14,3,1,2,False
2017-03-19,3,15,2,1,2,False
2017-03-26,5,16,3,1,2,False
2017-04-02,5,16,4,2,2,False
2017-04-09,4,17,3,2,2,False
2017-04-16,4,17,3,1,3,False
2017-04-23,4,17,3,1,3,False
2017-04-30,4,14,4,1,2,False
2017-05-07,3,17,3,1,3,False
2017-05-14,4,19,2,1,4,False
2017-05-21,4,26,3,1,7,False
2017-05-28,4,35,2,1,10,False
2017-06-04,4,48,2,1,19,False
2017-06-11,4,53,2,1,20,False
2017-06-18,4,46,3,1,17,False
2017-06-25,3,53,3,1,23,False
2017-07-02,4,87,3,1,38,False
2017-07-09,4,75,2,1,34,False
2017-07-16,3,68,2,1,29,False
2017-07-23,4,74,3,2,34,False
2017-07-30,3,67,3,1,30,False
2017-08-06,5,59,3,1,25,False
2017-08-13,3,52,3,1,22,False
2017-08-20,4,45,3,1,19,False
2017-08-27,3,84,3,1,41,False
2017-09-03,4,19,3,1,4,False
2017-09-10,4,22,2,1,3,False
2017-09-17,4,19,3,2,3,False
2017-09-24,3,16,2,2,1,False
2017-10-01,4,15,2,2,2,False
2017-10-08,4,15,2,2,2,False
2017-10-15,4,12,3,2,2,False
2017-10-22,4,16,2,2,3,False
2017-10-29,3,14,2,2,2,False
2017-11-05,4,11,2,2,2,False
2017-11-12,4,14,2,2,2,False
2017-11-19,5,14,2,1,2,False
2017-11-26,4,17,2,1,2,False
2017-12-03,3,13,2,1,3,False
2017-12-10,4,15,2,1,4,False
2017-12-17,3,16,2,2,3,False
2017-12-24,4,22,1,2,7,False
2017-12-31,4,27,2,2,9,False
2018-01-07,4,39,2,2,16,False
2018-01-14,4,80,2,1,39,False
2018-01-21,3,84,2,2,40,True
