date,latest android operating system,latest apple watch update,latest apple tv,latest apple ipad,a latest trick production,isPartial
2014-06-22,14,0,28,45,0,False
2014-06-29,28,0,37,43,0,False
2014-07-06,23,0,51,65,0,False
2014-07-13,22,0,45,36,0,False
2014-07-20,14,0,28,45,0,False
2014-07-27,9,0,51,46,0,False
2014-08-03,21,0,44,41,0,False
2014-08-10,25,0,72,64,0,False
2014-08-17,5,0,41,49,0,False
2014-08-24,19,0,43,46,0,False
2014-08-31,13,0,48,53,0,False
2014-09-07,18,0,34,42,0,False
2014-09-14,16,0,52,60,0,False
2014-09-21,26,0,62,75,0,False
2014-09-28,26,0,73,73,0,False
2014-10-05,18,0,47,68,0,False
2014-10-12,28,3,54,79,0,False
2014-10-19,8,0,69,77,0,False
2014-10-26,18,0,61,56,0,False
2014-11-02,17,0,42,57,0,False
2014-11-09,22,0,60,47,0,False
2014-11-16,20,0,76,40,0,False
2014-11-23,18,3,66,63,0,False
2014-11-30,12,0,39,36,0,False
2014-12-07,27,0,55,52,0,False
2014-12-14,23,0,61,36,0,False
2014-12-21,8,0,37,62,0,False
2014-12-28,22,0,58,30,0,False
2015-01-04,22,0,43,34,0,False
2015-01-11,10,0,46,56,0,False
2015-01-18,26,0,57,33,0,False
2015-01-25,9,2,44,54,0,False
2015-02-01,19,5,47,42,0,False
2015-02-08,19,0,38,31,0,False
2015-02-15,14,0,34,39,0,False
2015-02-22,16,0,44,28,0,False
2015-03-01,12,0,42,58,0,False
2015-03-08,23,2,44,32,0,False
2015-03-15,14,2,54,23,0,False
2015-03-22,18,0,43,30,0,False
2015-03-29,12,0,42,47,0,False
2015-04-05,21,0,41,43,0,False
2015-04-12,14,0,35,33,0,False
2015-04-19,28,2,42,40,0,False
2015-04-26,21,2,24,52,0,False
2015-05-03,12,0,19,31,0,False
2015-05-10,21,9,24,57,0,False
2015-05-17,23,5,28,35,0,False
2015-05-24,16,0,40,24,0,False
2015-05-31,26,0,48,43,0,False
2015-06-07,21,0,40,45,0,False
2015-06-14,21,5,28,42,0,False
2015-06-21,23,0,28,33,0,False
2015-06-28,29,2,58,41,0,False
2015-07-05,24,0,31,45,0,False
2015-07-12,10,2,60,48,0,False
2015-07-19,24,2,31,31,0,False
2015-07-26,7,2,45,43,0,False
2015-08-02,38,2,26,36,0,False
2015-08-09,12,0,42,52,0,False
2015-08-16,21,2,28,53,0,False
2015-08-23,18,0,48,32,0,False
2015-08-30,9,0,31,36,0,False
2015-09-06,13,4,74,74,0,False
2015-09-13,24,4,49,49,0,False
2015-09-20,9,2,52,67,0,False
2015-09-27,11,4,40,64,0,False
2015-10-04,17,2,35,68,0,False
2015-10-11,24,2,40,40,0,False
2015-10-18,17,2,61,59,0,False
2015-10-25,22,6,41,32,0,False
2015-11-01,13,2,65,57,0,False
2015-11-08,9,0,45,54,0,False
2015-11-15,39,0,51,71,0,False
2015-11-22,37,0,54,98,0,False
2015-11-29,13,2,41,60,0,False
2015-12-06,22,4,56,56,0,False
2015-12-13,31,4,33,62,0,False
2015-12-20,27,2,64,49,0,False
2015-12-27,37,7,47,42,0,False
2016-01-03,21,2,26,33,0,False
2016-01-10,27,2,22,38,0,False
2016-01-17,14,7,41,27,0,False
2016-01-24,11,2,32,41,0,False
2016-01-31,16,2,40,43,0,False
2016-02-07,5,2,39,27,0,False
2016-02-14,16,2,22,25,0,False
2016-02-21,13,2,20,42,0,False
2016-02-28,15,0,26,33,0,False
2016-03-06,20,4,22,22,0,False
2016-03-13,13,0,22,29,0,False
2016-03-20,7,9,28,55,0,False
2016-03-27,9,2,18,32,0,False
2016-04-03,16,2,27,34,0,False
2016-04-10,14,5,20,27,0,False
2016-04-17,11,4,18,31,0,False
2016-04-24,16,0,29,16,0,False
2016-05-01,9,2,32,19,0,False
2016-05-08,9,2,32,16,0,False
2016-05-15,11,5,25,27,0,False
2016-05-22,9,2,21,41,0,False
2016-05-29,9,0,30,30,0,False
2016-06-05,18,0,18,25,0,False
2016-06-12,18,2,23,47,0,False
2016-06-19,14,0,23,25,0,False
2016-06-26,9,2,26,65,0,False
2016-07-03,25,0,42,27,0,False
2016-07-10,19,0,17,31,0,False
2016-07-17,7,10,39,24,0,False
2016-07-24,29,10,26,24,0,False
2016-07-31,19,2,27,41,0,False
2016-08-07,15,0,20,20,0,False
2016-08-14,23,3,23,44,0,False
2016-08-21,17,5,29,41,0,False
2016-08-28,26,2,26,28,0,False
2016-09-04,12,5,33,45,0,False
2016-09-11,14,16,40,52,0,False
2016-09-18,19,7,21,28,0,False
2016-09-25,16,11,25,41,0,False
2016-10-02,18,7,25,37,0,False
2016-10-09,16,2,21,35,0,False
2016-10-16,11,9,16,34,0,False
2016-10-23,18,9,39,34,0,False
2016-10-30,2,2,39,53,0,False
2016-11-06,20,0,25,29,0,False
2016-11-13,9,2,22,45,0,False
2016-11-20,9,4,27,52,0,False
2016-11-27,15,4,35,48,0,False
2016-12-04,13,6,21,40,0,False
2016-12-11,15,7,40,37,0,False
2016-12-18,7,9,56,30,0,False
2016-12-25,31,2,46,26,0,False
2017-01-01,29,2,38,36,0,False
2017-01-08,6,8,30,26,0,False
2017-01-15,13,6,43,36,0,False
2017-01-22,17,6,27,44,0,False
2017-01-29,19,8,40,37,0,False
2017-02-05,21,0,19,23,0,False
2017-02-12,10,2,23,43,0,False
2017-02-19,17,0,17,25,0,False
2017-02-26,24,0,24,22,0,False
2017-03-05,12,4,26,30,0,False
2017-03-12,18,4,12,30,0,False
2017-03-19,8,2,17,59,0,False
2017-03-26,23,8,25,73,0,False
2017-04-02,19,8,21,48,0,False
2017-04-09,17,11,26,48,0,False
2017-04-16,13,2,19,46,0,False
2017-04-23,10,10,41,29,0,False
2017-04-30,6,10,10,37,0,False
2017-05-07,4,10,21,35,0,False
2017-05-14,16,9,22,36,0,False
2017-05-21,16,5,27,27,0,False
2017-05-28,25,7,25,38,0,False
2017-06-04,13,4,24,52,0,False
2017-06-11,9,0,24,49,0,False
2017-06-18,22,0,15,53,0,False
2017-06-25,11,2,36,27,0,False
2017-07-02,14,7,23,37,0,False
2017-07-09,20,2,25,27,0,False
2017-07-16,13,11,24,38,0,False
2017-07-23,16,25,25,42,0,False
2017-07-30,4,4,31,42,0,False
2017-08-06,9,6,37,28,0,False
2017-08-13,9,0,40,42,0,False
2017-08-20,20,7,26,59,0,False
2017-08-27,9,0,26,33,0,False
2017-09-03,15,2,15,56,0,False
2017-09-10,17,6,36,30,0,False
2017-09-17,23,25,32,66,0,False
2017-09-24,21,4,46,42,0,False
2017-10-01,19,13,27,46,0,False
2017-10-08,25,11,19,78,0,False
2017-10-15,13,15,23,49,0,False
2017-10-22,27,2,25,48,0,False
2017-10-29,6,12,21,56,0,False
2017-11-05,24,14,45,53,0,False
2017-11-12,22,8,16,53,0,False
2017-11-19,16,8,24,73,0,False
2017-11-26,24,0,24,61,0,False
2017-12-03,35,16,31,64,0,False
2017-12-10,14,14,41,51,0,False
2017-12-17,32,0,21,45,0,False
2017-12-24,18,18,45,57,0,False
2017-12-31,13,9,26,58,0,False
2018-01-07,4,2,20,44,0,False
2018-01-14,16,2,28,32,0,False
2018-01-21,30,0,15,30,0,True
