date,technology definition,technology synonym,technology gifts,technology stocks,technology jobs,isPartial
2014-05-11,36,5,3,4,76,False
2014-05-18,30,4,1,2,84,False
2014-05-25,28,4,1,2,82,False
2014-06-01,39,4,1,1,89,False
2014-06-08,37,3,1,4,83,False
2014-06-15,35,2,1,1,96,False
2014-06-22,27,5,1,3,80,False
2014-06-29,23,3,1,1,79,False
2014-07-06,25,4,1,4,80,False
2014-07-13,22,3,2,4,89,False
2014-07-20,27,3,1,2,87,False
2014-07-27,25,3,2,2,85,False
2014-08-03,28,3,2,2,88,False
2014-08-10,30,4,1,4,78,False
2014-08-17,34,3,1,2,77,False
2014-08-24,41,5,3,2,79,False
2014-08-31,49,4,1,3,83,False
2014-09-07,54,6,0,4,88,False
2014-09-14,51,7,1,3,81,False
2014-09-21,49,5,1,3,83,False
2014-09-28,44,4,1,5,77,False
2014-10-05,53,6,1,4,77,False
2014-10-12,40,6,2,4,78,False
2014-10-19,40,6,2,3,71,False
2014-10-26,41,6,2,3,73,False
2014-11-02,41,5,3,3,84,False
2014-11-09,48,7,6,2,79,False
2014-11-16,52,7,5,3,84,False
2014-11-23,32,5,5,2,59,False
2014-11-30,42,7,9,3,68,False
2014-12-07,45,6,12,4,70,False
2014-12-14,32,4,13,3,63,False
2014-12-21,14,2,4,4,52,False
2014-12-28,15,2,0,4,62,False
2015-01-04,32,5,2,3,79,False
2015-01-11,45,5,2,5,82,False
2015-01-18,44,5,1,4,78,False
2015-01-25,43,7,1,4,80,False
2015-02-01,48,7,3,3,76,False
2015-02-08,41,6,1,4,78,False
2015-02-15,39,5,1,4,81,False
2015-02-22,42,8,1,4,79,False
2015-03-01,44,7,1,4,73,False
2015-03-08,40,6,0,3,75,False
2015-03-15,45,10,1,4,85,False
2015-03-22,43,7,1,4,76,False
2015-03-29,32,5,1,4,82,False
2015-04-05,40,6,1,3,79,False
2015-04-12,48,7,0,3,80,False
2015-04-19,45,7,1,3,83,False
2015-04-26,53,6,1,3,82,False
2015-05-03,49,6,2,3,82,False
2015-05-10,48,6,1,3,87,False
2015-05-17,44,5,1,3,79,False
2015-05-24,43,6,1,3,81,False
2015-05-31,47,6,1,3,79,False
2015-06-07,47,5,1,2,77,False
2015-06-14,42,7,1,3,77,False
2015-06-21,35,5,1,2,81,False
2015-06-28,28,5,1,1,75,False
2015-07-05,31,6,1,3,74,False
2015-07-12,31,5,1,2,73,False
2015-07-19,28,5,3,2,78,False
2015-07-26,31,6,2,2,77,False
2015-08-02,33,5,1,3,72,False
2015-08-09,36,4,1,3,76,False
2015-08-16,46,5,2,3,81,False
2015-08-23,62,6,1,2,78,False
2015-08-30,63,8,0,3,74,False
2015-09-06,67,6,2,3,74,False
2015-09-13,73,8,2,3,85,False
2015-09-20,60,8,2,2,77,False
2015-09-27,61,6,2,2,77,False
2015-10-04,61,6,1,2,77,False
2015-10-11,64,10,2,2,77,False
2015-10-18,56,6,2,4,71,False
2015-10-25,54,6,3,3,72,False
2015-11-01,55,8,4,3,78,False
2015-11-08,57,10,4,4,69,False
2015-11-15,53,9,6,3,71,False
2015-11-22,43,6,7,2,55,False
2015-11-29,58,9,10,2,68,False
2015-12-06,51,8,10,3,70,False
2015-12-13,45,7,10,3,64,False
2015-12-20,18,3,6,2,47,False
2015-12-27,19,2,2,3,56,False
2016-01-03,43,7,2,4,80,False
2016-01-10,46,6,1,4,70,False
2016-01-17,46,5,1,3,66,False
2016-01-24,43,7,1,4,79,False
2016-01-31,53,8,2,3,70,False
2016-02-07,51,8,1,4,71,False
2016-02-14,48,8,2,3,66,False
2016-02-21,56,7,2,3,73,False
2016-02-28,52,8,1,3,66,False
2016-03-06,53,6,1,3,67,False
2016-03-13,47,6,3,3,68,False
2016-03-20,37,8,1,2,66,False
2016-03-27,39,7,2,4,69,False
2016-04-03,46,6,2,5,71,False
2016-04-10,52,9,1,3,69,False
2016-04-17,51,7,2,3,68,False
2016-04-24,54,7,1,4,70,False
2016-05-01,52,9,2,4,74,False
2016-05-08,47,6,1,2,74,False
2016-05-15,41,7,1,2,69,False
2016-05-22,44,5,1,2,76,False
2016-05-29,33,6,1,1,68,False
2016-06-05,39,6,3,2,80,False
2016-06-12,40,5,2,2,70,False
2016-06-19,34,6,1,2,71,False
2016-06-26,29,5,1,3,63,False
2016-07-03,29,4,2,3,70,False
2016-07-10,27,4,2,3,70,False
2016-07-17,26,5,1,2,73,False
2016-07-24,26,7,2,3,65,False
2016-07-31,28,5,2,2,65,False
2016-08-07,29,4,1,4,67,False
2016-08-14,40,4,1,1,68,False
2016-08-21,44,7,1,2,61,False
2016-08-28,52,6,2,3,69,False
2016-09-04,56,5,2,3,66,False
2016-09-11,63,8,1,3,68,False
2016-09-18,63,10,2,4,69,False
2016-09-25,54,8,0,3,67,False
2016-10-02,52,10,2,3,63,False
2016-10-09,48,9,2,3,66,False
2016-10-16,48,10,2,2,63,False
2016-10-23,47,7,2,3,63,False
2016-10-30,48,9,3,4,66,False
2016-11-06,49,13,5,5,66,False
2016-11-13,47,9,7,5,62,False
2016-11-20,36,7,8,3,55,False
2016-11-27,52,9,9,4,68,False
2016-12-04,50,10,10,5,68,False
2016-12-11,45,7,12,3,57,False
2016-12-18,24,6,10,4,53,False
2016-12-25,19,4,2,2,51,False
2017-01-01,36,6,1,3,72,False
2017-01-08,47,8,1,3,74,False
2017-01-15,51,8,3,5,75,False
2017-01-22,53,11,2,5,72,False
2017-01-29,53,8,3,5,74,False
2017-02-05,57,9,2,6,75,False
2017-02-12,43,11,2,6,74,False
2017-02-19,50,9,2,5,74,False
2017-02-26,50,11,2,6,100,False
2017-03-05,53,11,1,5,74,False
2017-03-12,43,11,2,4,68,False
2017-03-19,46,9,1,5,72,False
2017-03-26,47,10,2,4,66,False
2017-04-02,47,11,2,4,72,False
2017-04-09,40,8,2,4,68,False
2017-04-16,45,12,2,3,72,False
2017-04-23,53,8,1,4,71,False
2017-04-30,49,12,2,5,71,False
2017-05-07,50,9,2,3,75,False
2017-05-14,40,7,2,6,71,False
2017-05-21,39,10,2,4,64,False
2017-05-28,31,9,2,3,68,False
2017-06-04,41,7,1,5,70,False
2017-06-11,35,7,2,7,66,False
2017-06-18,32,6,2,3,69,False
2017-06-25,31,5,1,4,70,False
2017-07-02,32,5,1,5,72,False
2017-07-09,28,6,1,5,74,False
2017-07-16,29,7,1,5,71,False
2017-07-23,28,7,2,3,68,False
2017-07-30,30,6,1,5,69,False
2017-08-06,32,5,1,6,69,False
2017-08-13,36,7,2,3,66,False
2017-08-20,43,7,2,3,69,False
2017-08-27,51,9,2,3,67,False
2017-09-03,52,10,2,4,71,False
2017-09-10,64,12,2,4,74,False
2017-09-17,63,11,2,4,73,False
2017-09-24,60,12,1,5,73,False
2017-10-01,54,13,3,6,75,False
2017-10-08,54,12,3,4,74,False
2017-10-15,56,14,3,6,69,False
2017-10-22,53,10,3,7,71,False
2017-10-29,50,13,4,7,74,False
2017-11-05,60,12,3,4,76,False
2017-11-12,54,13,6,5,72,False
2017-11-19,39,10,6,6,54,False
2017-11-26,49,13,7,8,67,False
2017-12-03,60,14,11,7,66,False
2017-12-10,54,11,13,10,70,False
2017-12-17,36,7,11,9,59,False
2017-12-24,16,5,2,10,53,False
2017-12-31,35,5,1,9,73,False
2018-01-07,48,11,1,10,75,False
2018-01-14,52,11,1,10,76,False
2018-01-21,30,4,1,8,55,True
